TERMIN-POL;TERMIN-ANG-SIN;TERMIN-ANG-PLU;DEFINICJA
epiblast;epiblast / primitive ectoderm;reg.;A part of the blastocyst from which the germ layers form.
epiblema;zob. ryzoderma;-;-
epibolia;epiboly;- / reg.;A movement of cells during gastrulation leading to covering of another layer of cells.
epidemia;epidemic;reg.;A sudden occurance of cases of a disesase in a given human population.
epifitoza;epiphytotic;reg.;A plant disease that affects a large percentage of the population.
epifit;epiphyte;reg.;A plant, usually non-parasitic, using another plant for support.
kie³kowanie epigeiczne;epigeal germination;- / reg.;A type of plant germination in which cotyledons are present above the ground.
epigenetyka;epigenetics;-;The study of how non-genetic factors influence genetic information.
epikarp;zob. egzokarp;-;-
epikotyl;epicotyl;reg.;A part of germinating plant extending from the cotyledons to the shoot meristem.
epimeryzacja;epimerisation / epimerization;- / reg.;Any chemical reaction in which one diastereoisomer changes into another.
epimorfoza;epimorphosis;-;Regeneration of a lost organ.
episom;episome;reg.;Autonomous genetic material that can be integrated with main genome.
epistaza;epistasis;- / epistases;A phenomenon in which one gene's product influences expression of another gene.
epizoocja;zob. epizootia;-;-
erozja;erosion;-;The destruction of a geological formation due to various factors.
era geologiczna;geologic era;reg.;A division of geological eons.
erytroblast;erythroblast / normoblast / megaloblast / nucleated red blood cell / NRBC;reg.;An erythrocyte stem cell.
aerofit;zob. epifit;-;-
poroœl;zob. epifit;-;-
egzokarp;epicarp / exocarp / flavedo;reg.;The skin of a fruit.
epizootia;epizootic;reg.;An epic-like event in a non-human animal population.
erytrocyt;red blood cell / RBC / red cell / red blood corpuscule / haematid / erythroid cell / erythrocyte;reg.;A blood cell responsible for oxygen transportation in vertebrates.
erytrokruoryna;erythrocruorin;-;A large protein responsible for oxygen transportation in crustaceans and annelids.
erytropoetyna;erythropoietin / erythropoetin / haematopoietin / haemopoietin / EPO;-;A hormone responsible for stimulation of red blood cells production.
erytropoeza;erythropoiesis;-;The process in which red blood cells are produced.
esteraza;esterase;-;Any enzyme catalysing the cleavage of ester bonds.
estradiol;estradiol / E2 / oestradiol;-;A hormone responsible for menstrual cycle regulation.
estriol;estriol / E3 / oestriol;-;A hormone present during pregnancy.
estrogen;estrogen / oestrogen;reg.;Any sex hormone responsible for female reproductive system development and functioning.
estron;estrone / E1 / oestrone;-;A hormone most likely precursor of estradiol.
ester;ester;reg.;A substance formed due to the formation of a bond between an acid and another substance, with a hydroxyl group.
estywacja;aestivation / estivation;- / reg.;A hibernation-like state in which some animals remain during summer.
etiolacja;etiolation;- / reg.;The processes occuring in plants in absence of light.
etiologia;etiology / aetiology / ?tiology;-;The study of disease causes.
etioplast;etioplast;reg.;A plastide precursor to a chloroplast, formed when there is not enough light.
etologia;ethology;-;The study of animal behaviour.
etylen;ethylene;-;An organic substance formed of two carbon atoms and four hydrogen atoms, an important plant hormone.
euchromatyna;euchromatin;-;Loose chromatin that can be transcribed.
strefa eufotyczna;photic zone / euphotic zone / epipelagic zone / sunlit zone;reg.;A zone of a water body closest to the surface.
euglenina;euglenid / euglenoid / euglenophyte;reg.;Any eukaryote flagellate member of the Euglenophyta phylum.
krwinka czerwona;zob. erytrocyt;-;-
sen letni;zob. estywacja;-;-
eukariont;eukaryote;reg.;Any organism with a nucleous in its somatic cells.
euploid;euploid;reg.;Any organism whose chromosome number is the exact multiplication of a number of chromosomes in one chromosome set.
organizm euryfotyczny;euryphotic organism / eurylume organism;reg.;An organism that is tolerant of a wide range of light intensity.
organizm euryhaliczny;euryhaline organism;reg.;An organism that is tolerant of a wide range of salt saturation levels.
organizm euryhydryczny;euryhydric organism;reg.;An organism that is tolerant of a wide range of moisture levels in its environment.
organizm eurytermiczny;eurytherm;reg.;An organism that is tolerant of a wide range of temperatures in its environment.
organizm eurytopowy;zob. eurybiont;-;-
przewód Eustachiusza;Eustachian tube / auditory tube / pharyngotympanic tube;reg.;A tube linking the middle ear to the pharynx, allowing ot regulate pressure inside the ear.
jezioro eutroficzne;eutrophic lake;reg.;A lake with too many nutrients soluted in it, thus prone to algal blooming.
eutrofizacja;eutrophication / dystrophication / hypertrophication;- / reg.;The process through which excess algae grow in a body of water, due to abundance of nutrients, resulting in its greenish colour.
mitochondrialna ewa;mitochondrial Eve;-;The woman which all living people descended from and thus, all mitochondria were inherited.
eza;inoculation loop / smear loop / inoculation wand / microstreaker;reg.;A tool used in microbiology for transferring inoculum.
eurytop;zob. eurybiont;-;-
tr¹bka s³uchowa;zob. przewód eustachiusza;-;-
ewolucja;evolution;-;The process through which change in characteristics occurs through generations.
pêtla bakteriologiczna;zob. eza;-;-
fag;zob. bakteriofag;-;-
fagocytoza;phagocytosis;- / phagocytoses;A complex endocytosis via a phagosome.
fagocyt;phagocyte;reg.;A cell specialised in pathogen phagocytosis.
fagosom;phagosome;reg.;A vesicle formed by a fusion of an endosome and a lysosome.
fanerofit;phanerophyte;reg.;A category of woody plants characterised by forming perennating buds above ground level.
ból fantomowy;phantom pain;reg.;A painful sensation felt in the place of an amputated or otherwise missing limb or organ.
fauna;fauna;-;Animal organisms, either on a whole planet or in a given ecosystem or location.
reakcja Fehlinga;Fehling reaction;-;A chemical reaction allowing to differentiate between aldehyde and keton groups.
fellem;zob. korek;-;-
felloderma;phelloderm;-;A layer of plant tissue produced inwards the organism by phellogen tissue.
fellogen;phellogen;- / reg.;A cork-producing tissue.
fenokopia;phenocopy;-;A phenotypal trait of an organism produced due to environmental factors, making the organism's phenotype the same as it would be if such a trait was determined genetically in this organism.
fenologia;phenology;-;The study of how seasonal and climate changes affect organisms.
fenotyp;phenotype;reg.;Traits of an organism, both molecular and macroscopic.
komórka ¿erna;zob. fagocyt;-;-
roœlina jawnop¹czkowa;zob. fanerofit;-;-
fenyloketonuria;phenylketonuria;-;A genetic disease caused by errors in phenylalanine metabolism, manifesting as intellectual disability and seizures.
fermentacja;fermentation;- / reg.;A biochemical process of converting carbohydrates to energy due to enzymatic activity.
fermentacja alkoholowa;ethanol fermentation / alcoholic fermentation;-;A fermentation with ethyl alcohol as its product.
fermentacja mas³owa;butyric fermentation;-;A fermentation with butyric acid as its product.
fermentacja mlekowa;lactic acid fermentation;-;A fermentation with lactic acid as its product.
feromon;pheromone;reg.;A substance trigerring a behavioral response in organisms when excreted.
ferredoksyna;ferredoxin;-;A protein essential in electron transport chain.
fertylizyna;fertilizin;-;A substace covering an egg cell, assisting in fertilization.
fibroblast;fibroblast;reg.;A collagen-producing cell.
fibryna;fibrin / factor Ia;-;A substance essential for proper blood clotting.
fibrynogen;fibrinogen / factor I;-;A glycoprotein converted to fibrin during blood clotting, essential for this process.
fikobilina;phycobilin;-;Any colour-giving substance found in cyanobacteria, red algae, cryptomonads or glaucophytes, assisting in photosynthesis.
filament poœredni;intermediate filament;intermediate filaments;A thread-like component of cytoskeleton, supporting animal cells.
oligofrenia fenylopirogronowa;zob. fenyloketonuria;-;-
w³óknik;zob. fibryna;-;-
filochinon;phytomenadione / phylloquinone;-;An obscure name for vitamin K1.
filogeneza;phylogenesis;-;The process of a formation of new taxonomic ranks.
filotaksja;phyllotaxis / phyllotaxy;- / phyllotaxes / phyllotaxies;Distribution of leaves on a plant.
filtrator;filter feeder;reg.;Any animal feeding via filtering out fine food particles from water.
fimbria;fimbria;fimbriae;A think, thread-like appendage of a bacterial cell or a tissue, allowing them adhesion or motility.
fiszbin;baleen;- / reg.;A structure used by some whales to filter feed.
fitocenoza;phytocenosis;phytocenoses;All plants on Earth.
fitochrom;phytochrome;reg.;Any substance changing its conformation after its exposure to light, thus allowing a plant, fungus or bacterium to react to light.
fitogeografia;phytogeography / botanical geography;-;The study of geographical distribution of plants.
fitohormon;phytohormone / plant hormone;reg.;Any plant-produced substance regulating a plant's growth or other life functions.
fitoncyd;phytoncide;reg.;Any substance produced by a plant inhibiting growth of microorganisms.
fitopatologia;phytopathology / plant pathology;-;The study of plant diseases.
fitoplankton;phytoplankton;- / reg.;Microscopic, photosynthesizing, water-dwelling organisms.
fitosocjologia;phytosociology / phytocoenology / plant sociology;-;The study of plant species usually growing near each other.
fitotron;phytotron;reg.;A room for plant cultivation for research.
fizjologia;physiology;-;The study of an organism's functioning.
fizjologiczny roztwór;zob. sól fizjologiczna;-;-
ulistnienie;zob. filotaksja;-;-
fitocenologia;zob. fitosocjologia;-;-
fitocenotyka;zob. fitosocjologia;-;-
flawonoid;flavonoid / bioflavonoid;reg.;Any organic, plant-produced substance acting as a dye, insecticide, fungicide or antioxidant.
floem;phloem;reg.;A plant tissue that transports nutrients in the plant's body.
flora;flora;-;All plant life, either native to a given area or simply occuring in a given area.
florigen;florigen / flowering hormone;reg.;A substance that, when produced by a plant, induces flowering of said plant.
florystyka;floristics;-;The study and registering of plants from a given area.
fluor;fluorine;-;A chemical element occuring in herbivore-detering plant-produced substances.
fluorescencja;fluorescence;-;The phenomenon of light emission by an object exposed to electromagnetic radiation.
mononukleotyd flawinowy;flavin mononucleotide / riboflavin-5'-phosphate / FMN;-;A cofactor or a prosthetic group of many enzymes.
faza folikularna;follicular phase / preovulatory phase / proliferative phase;-;A menstrual cycle phase ending with ovulation.
folikulotropina;follicle-stimulating hormone / FSH;-;A hormone essential for proper sexual maturation of the human organism.
formalina;formalin;-;A solution of formaldehyde often used in conservation of biological material.
forma przejœciowa;transitional form;reg.;An organism with traits of two related phyletic groups.
fosfagen;phosphagen / macroergic compound;reg.;Any phosphate compound capable of releasing large amount of energy, usually found in animal muscles.
fosfataza;phosphatase;reg.;Any enzyme catalysing the removal of a phosphate group from a molecule.
fosfoarginina;phospharginine;-;A phosphagen made up of a phosphate group and amino acid arginine.
fosfokreatyna;phosphocreatine / creatine phosphate;-;A substance storing phosphate groups in the cell.
fosfolipid;phospholipid / phosphatide;reg.;Any molecule with a long hydrophobic, lipid tail and a small, hydrophilic head.
hormon folikulotropowy;zob. folikulotropina;-;-
formy poœrednie;zob. formy przejœciowe;-;-
fosforoliza;phosphorolysis;- / phosphorolyses;A cleavage of a bond due to phosphate group attack.
